id	sassoon_string	regular_string	sort_order	sound_group_id	print_path	precursive_path
116	s	s	0	s	115	{"m23.46711,-1.74225c-2.7743,-1.44717 -8.722079,-2.01337 -8.99352,1.87825c-0.06629,1.67938 0.11049,2.34229 1.63519,3.57973c1.5247,1.23744 2.983101,2.03293 4.021669,2.89472c1.038561,0.86178 3.09359,2.40858 2.938911,4.28683c-0.15468,1.878261 -0.817591,2.76214 -1.59099,3.22618c-0.773401,0.46404 -2.010841,0.90598 -3.8228,0.7513c-1.811961,-0.154679 -3.800701,-1.126949 -4.198441,-1.347919c-0.397751,-0.22097 -0.44194,-0.287271 -0.44194,-0.287271"}	{"m23.46711,-1.74225c-2.7743,-1.44717 -8.722079,-2.01337 -8.99352,1.87825c-0.06629,1.67938 0.11049,2.34229 1.63519,3.57973c1.5247,1.23744 2.983101,2.03293 4.021669,2.89472c1.038561,0.86178 3.09359,2.40858 2.938911,4.28683c-0.15468,1.878261 -0.817591,2.76214 -1.59099,3.22618c-0.773401,0.46404 -2.010841,0.90598 -3.8228,0.7513c-1.811961,-0.154679 -3.800701,-1.126949 -4.198441,-1.347919c-0.397751,-0.22097 -0.44194,-0.287271 -0.44194,-0.287271"}
117	a	a	1	a	115	{"m13.84375,16.796881c0,0 -1.65625,-1.531251 -4.84375,-1.281251c-3.1875,0.25 -4.90625,2.04687 -5.82812,3.20312c-0.92188,1.15625 -2.17188,4.8125 -1.59375,7.71875c0.57812,2.90625 1.65625,5.421881 4.14062,6.046879c2.48438,0.625 5.14063,-0.734379 6.60938,-3.218748c1.46875,-2.484381 1.54687,-4.40625 1.54687,-4.40625l-0.03125,-8.0625z","m13.87697,16.71018l-0.04419,11.18112c0,0 -0.17677,3.27037 1.34792,4.198448c1.5247,0.928082 2.62956,0.13258 2.850531,-0.220968"}	{"m13.84375,16.796881c0,0 -1.65625,-1.531251 -4.84375,-1.281251c-3.1875,0.25 -4.90625,2.04687 -5.82812,3.20312c-0.92188,1.15625 -2.17188,4.8125 -1.59375,7.71875c0.57812,2.90625 1.65625,5.421881 4.14062,6.046879c2.48438,0.625 5.14063,-0.734379 6.60938,-3.218748c1.46875,-2.484381 1.54687,-4.40625 1.54687,-4.40625l-0.03125,-8.0625z","m13.85775,16.47944l0.0034,15.66681"}
118	t	t	2	t	115	{"m3.55763,0.21526l0.00337,17.6735c0,0 -0.04756,1.3521 0.39438,2.081301c0.44194,0.7292 0.7734,1.39212 1.98874,1.922449c1.21534,0.530331 2.65165,0.41984 4.17635,-0.59663","m0.39775,4.92194l9.32497,0.0442"}	{"m15.6783,11.21526l0.00336,21.92362","m10.56434,15.92194l11.27905,0.0442"}
119	i	i	3	i	115	{"m3.52562,8.3819l0.10793,13.74274c0,0 -0.10793,3.021961 1.3311,3.525621c1.43903,0.50367 2.80611,-0.215851 2.98599,-0.359751","m3.63355,1.51054c0.79147,0 0.50366,0.57561 0.21586,0.61158c-0.28781,0.03598 -0.64757,-0.46768 -0.21586,-0.61158z"}	{"m3.52562,8.3819l0.10793,18.60466","m3.63355,1.51054c0.79147,0 0.50366,0.57561 0.21586,0.61158c-0.28781,0.03598 -0.64757,-0.46768 -0.21586,-0.61158z"}
120	p	p	4	p	115	{"m-7.47547,1.3382c0,0 0.84375,3.84375 0.71875,6.25c-0.125,2.40625 -0.125,23.4375 -0.125,23.4375l0.09375,-21.84375c0,0 1,-4.34375 2.96875,-6.09375c1.96875,-1.75 3.71875,-1.65625 4.71875,-1.65625c1,0 3.8125,0.84375 4.8125,3.96875c1,3.125 0.53125,7.125 -0.65625,9.5c-1.1875,2.375 -2.25,2.78125 -3.09375,3.25c-0.84375,0.46875 -1.84375,0.84375 -3.90625,0.4375c-2.0625,-0.40625 -4.90625,-3.46875 -4.90625,-3.46875"}	{"m-7.47547,1.3382c0,0 0.84375,3.84375 0.71875,6.25c-0.125,2.40625 -0.125,23.4375 -0.125,23.4375l0.09375,-21.84375c0,0 1,-4.34375 2.96875,-6.09375c1.96875,-1.75 3.71875,-1.65625 4.71875,-1.65625c1,0 3.8125,0.84375 4.8125,3.96875c1,3.125 0.53125,7.125 -0.65625,9.5c-1.1875,2.375 -2.25,2.78125 -3.09375,3.25c-0.84375,0.46875 -1.84375,0.84375 -3.90625,0.4375c-2.0625,-0.40625 -4.90625,-3.46875 -4.90625,-3.46875"}
121	n	n	5	n	115	{"m1.71875,4.40625c0,0 0.75,2.09375 0.6875,6.34375c-0.0625,4.25 0,11.34375 0,11.34375l0,-7.3125c0,0 0.29057,-3.30695 0.46875,-3.96875c0.21875,-0.8125 0.78033,-3.271 2.96875,-5.03125c1.4375,-1.15625 3.28125,-1.125 4.3125,-1.0625c0.62697,0.038 2.03125,0.4375 2.6875,1.25c0.65625,0.8125 1.125,1.65625 1.21875,2.59375c0.09375,0.9375 0.125,1.09375 0.125,1.09375l0.03125,9.09375c0,0 -0.125,1.78125 0.96875,2.65625c1.09375,0.875 2.1875,0.5625 2.4375,0.5c0.25,-0.0625 1.0625,-0.5625 1.0625,-0.5625"}	{"m1.71875,4.40625c0,0 0.75,2.09375 0.6875,6.34375c-0.0625,4.25 0,11.34375 0,11.34375l0,-7.3125c0,0 0.29057,-3.30695 0.46875,-3.96875c0.21875,-0.8125 0.78033,-3.271 2.96875,-5.03125c1.4375,-1.15625 3.28125,-1.125 4.3125,-1.0625c0.62697,0.038 2.03125,0.4375 2.6875,1.25c0.65625,0.8125 1.125,1.65625 1.21875,2.59375c0.09375,0.9375 0.125,1.09375 0.125,1.09375c0.01042,3.03125 -0.14662,9.55122 -0.13621,12.58247"}
123	ck	ck	0	ck	122	{"m14.05304,12.9629c0,0 -3.39794,-2.32316 -7.375619,0.33741c-3.97768,2.66057 -3.18741,9.588579 -2.7396,10.7213c0.44782,1.13271 1.26443,3.45083 3.84597,4.162069c2.58154,0.711241 4.58355,-0.052679 4.58355,-0.052679l1.81762,-0.76392","m19.21633,2.28925l0.02634,26.131509l0.02634,-10.089079c0,0 0.895639,-3.18741 2.028349,-4.26744c1.132721,-1.080041 2.02836,-2.52886 4.425501,-2.21275c2.39715,0.3161 3.635229,2.3708 2.423491,4.267441c-1.21175,1.896639 -4.76795,2.63423 -6.190432,2.713249c-1.42248,0.079029 -2.555199,0.10537 -2.555199,0.10537l0.605869,0.079031l6.559219,7.40217c0,0 2.16007,2.37081 4.083052,1.633219c1.922989,-0.737579 1.080029,-0.39513 1.080029,-0.39513l0.079031,0.052691"}	{"m14.05304,12.9629c0,0 -3.39794,-2.32316 -7.375619,0.33741c-3.97768,2.66057 -3.18741,9.588579 -2.7396,10.7213c0.44782,1.13271 1.26443,3.45083 3.84597,4.162069c2.58154,0.711241 4.58355,-0.052679 4.58355,-0.052679l1.81762,-0.76392","m19.177,2.28925l0.0264,26.13155l0.0656,-10.0498l8.49995,-6.26128l-8.49995,6.26128l9.0225,9.93689"}
124	e	e	1	e	122	{"m2.20971,13.47351c0,0 2.58084,0.48614 3.44714,0.48614c0.92808,0 1.5689,0.08839 2.98311,-0.24307c1.41422,-0.33145 1.76777,-0.39774 2.828429,-1.03856c1.06066,-0.640821 1.856151,-1.215341 2.49697,-2.36439c0.64081,-1.14905 0.39775,-2.32019 0.22097,-2.93891c-0.17678,-0.61872 -0.99437,-2.01084 -2.20971,-2.49697c-1.21534,-0.48614 -2.87262,-0.64082 -4.39732,-0.19888c-1.46334,0.42416 -2.85052,1.591 -3.46924,2.54117c-0.61872,0.95017 -1.30373,2.14342 -1.67938,4.13215c-0.37565,1.98874 -0.33146,3.20408 -0.08839,4.552c0.24307,1.347929 0.41985,2.47488 1.61309,3.93329c1.19324,1.458399 1.87825,1.679369 3.24827,2.055019c1.37002,0.37566 3.15988,0.08839 4.11006,-0.154671c0.95017,-0.243069 2.2318,-0.972279 2.2318,-0.972279"}	{"m2.20971,13.47351c0,0 2.58084,0.48614 3.44714,0.48614c0.92808,0 1.5689,0.08839 2.98311,-0.24307c1.41422,-0.33145 1.76777,-0.39774 2.828429,-1.03856c1.06066,-0.640821 1.856151,-1.215341 2.49697,-2.36439c0.64081,-1.14905 0.39775,-2.32019 0.22097,-2.93891c-0.17678,-0.61872 -0.99437,-2.01084 -2.20971,-2.49697c-1.21534,-0.48614 -2.87262,-0.64082 -4.39732,-0.19888c-1.46334,0.42416 -2.85052,1.591 -3.46924,2.54117c-0.61872,0.95017 -1.30373,2.14342 -1.67938,4.13215c-0.37565,1.98874 -0.33146,3.20408 -0.08839,4.552c0.24307,1.347929 0.41985,2.47488 1.61309,3.93329c1.19324,1.458399 1.87825,1.679369 3.24827,2.055019c1.37002,0.37566 3.15988,0.08839 4.11006,-0.154671c0.95017,-0.243069 2.2318,-0.972279 2.2318,-0.972279"}
125	h	h	2	h	122	{"m1.12695,0.19317l0.0221,27.974909l0,-6.805899c0,0 0.13258,-3.27037 0.50823,-4.26474c0.37565,-0.994371 0.88388,-3.425051 2.36439,-4.90556c1.4805,-1.4805 3.49134,-1.87825 4.72878,-1.67937c1.124579,0.18073 1.72357,0.19887 3.20407,2.01083c1.48051,1.81196 1.03518,7.52758 1.038569,7.822371c0.004801,0.421009 0,4.065859 0,4.065859c0,0 -0.06629,1.502611 0.464041,2.3423c0.53033,0.839689 0.68501,1.126949 1.92244,1.30372c1.23744,0.176779 1.988741,-0.61871 1.988741,-0.61871"}	{"m1.12695,0.15138l0.0221,27.97491l0,-6.8059c0,0 0.13258,-3.27037 0.50823,-4.26474c0.37565,-0.99437 0.88388,-3.42505 2.36439,-4.90556c1.4805,-1.4805 3.49134,-1.87825 4.72878,-1.67937c1.12458,0.18073 1.72357,0.19887 3.20407,2.01083c1.48051,1.81196 1.03518,7.52758 1.03857,7.82237l0,7.82237"}
126	r	r	3	r	122	{"m1.19324,10.5567c0,0 0.0442,0.13258 0.17678,0.7734c0.13258,0.64081 0.30936,2.89472 0.35355,4.61829c0.0442,1.723571 -0.02209,12.263881 -0.02209,12.263881l0.06629,-6.474442c0,0 0.02624,-4.231659 0.77339,-6.23138c0.75131,-2.010839 1.85616,-3.88909 3.27037,-4.39732c1.84127,-0.66171 2.91682,-0.30936 4.19845,0.13258"}	{"m1.19324,10.5567c0,0 0.0442,0.13258 0.17678,0.7734c0.13258,0.64081 0.30936,2.89472 0.35355,4.61829c0.0442,1.723571 -0.02209,12.263881 -0.02209,12.263881l0.06629,-6.474442c0,0 0.02624,-4.231659 0.77339,-6.23138c0.75131,-2.010839 1.85616,-3.88909 3.27037,-4.39732c1.84127,-0.66171 2.91682,-0.30936 4.19845,0.13258"}
