id,sound_id,sort_order,display_string,linked_word_sound_id,word_id
12381,137,0,ai,,12364
12368,117,0,a,,12359
12369,117,0,a,,12362
12375,117,0,a,,12366
12373,117,0,a,,12365
12385,127,0,m,,12364
12372,123,0,c,,12359
12374,130,0,g,,12362
12383,133,0,l,,12366
12371,117,0,a,,12363
12376,134,0,f,,12365
12370,137,0,ai,,12361
12377,118,0,t,,12359
12384,126,0,r,,12362
12387,131,0,o,,12366
12367,117,0,a,,12360
12378,128,0,d,,12361
12379,135,0,b,,12363
12382,126,0,r,,12365
12389,141,0,ee,,12362
12380,123,0,c,,12360
12391,146,0,ng,,12366
12386,159,0,ou,,12363
12390,126,0,r,,12360
12388,118,0,t,,12363
12392,131,0,o,,12360
12393,137,0,ai,,12365
12395,116,0,ss,,12360
12394,128,0,d,,12365
12412,117,0,a,,12403
12414,117,0,a,,12400
12417,154,0,sh,,12403
12410,117,0,a,,12401
12420,121,0,n,,12400
12416,121,0,n,,12401
12411,117,0,a,,12402
12424,128,0,d,,12401
12399,117,0,a,,12397
12404,117,0,a,,12396
12419,118,0,t,,12402
12405,116,0,s,,12397
12407,133,0,l,,12396
12408,133,0,l,,12397
12425,159,0,ou,,12396
12409,117,0,a,,12398
12413,117,0,a,,12406
12431,128,0,d,,12396
12415,121,0,n,,12398
12421,119,0,i,,12398
12423,141,0,ee,,12397
12428,127,0,m,,12398
12427,120,0,p,,12397
12430,117,0,a,,12398
12418,126,0,r,,12406
12422,159,0,ou,,12406
12432,133,0,l,,12398
12426,121,0,n,,12406
12429,128,0,d,,12406
12441,135,0,b,,12435
12446,135,0,b,,12436
12445,163,0,ar,,12435
12452,163,0,ar,,12436
12450,123,0,k,,12435
12440,135,0,b,,12433
12444,137,0,ai,,12433
12448,135,0,b,,12438
12447,118,0,t,,12433
12454,141,0,ee,,12438
12457,134,0,f,,12438
12442,135,0,b,,12434
12443,135,0,b,,12437
12455,117,0,a,,12437
12453,117,0,a,,12434
12459,123,0,ck,,12434
12458,146,0,ng,,12437
12449,135,0,b,,12439
12456,117,0,a,,12439
12461,128,0,d,,12439
12460,135,0,b,,12451
12462,117,0,a,,12451
12463,154,0,sh,,12451
12465,135,0,b,,12464
12468,141,0,ee,,12464
12472,121,0,n,,12464
12470,135,0,b,,12466
12473,124,0,e,,12466
12479,130,0,g,,12466
12475,135,0,b,,12467
12480,141,0,ee,,12467
12483,120,0,p,,12467
12478,135,0,b,,12471
12481,124,0,e,,12471
12486,116,0,s,,12471
12493,135,0,b,,12484
12494,124,0,e,,12484
12490,118,0,t,,12471
12496,118,0,t,,12484
12476,135,0,b,,12469
12485,124,0,e,,12469
12488,133,0,l,,12469
12492,131,0,o,,12469
12498,146,0,ng,,12469
12482,135,0,b,,12474
12489,135,0,b,,12477
12495,124,0,e,,12477
12499,121,0,n,,12477
12502,128,0,d,,12477
12487,124,0,e,,12474
12491,121,0,n,,12474
12497,118,0,t,,12474
12503,135,0,b,,12500
12511,135,0,b,,12504
12515,119,0,i,,12504
12513,135,0,b,,12507
12519,130,0,g,,12504
12518,119,0,i,,12507
12505,124,0,e,,12500
12520,135,0,b,,12507
12509,118,0,tt,,12500
12512,162,0,er,,12500
12506,135,0,b,,12501
12508,124,0,e,,12501
12510,118,0,t,,12501
12516,145,0,w,,12501
12517,141,0,ee,,12501
12521,135,0,b,,12514
12524,119,0,i,,12514
12527,118,0,t,,12514
12523,121,0,n,,12501
12529,135,0,b,,12525
12530,139,0,oa,,12525
12532,116,0,s,,12525
12535,118,0,t,,12525
12543,135,0,b,,12531
12547,148,0,oo,,12531
12542,135,0,b,,12537
12546,148,0,oo,,12537
12533,135,0,b,,12526
12550,127,0,m,,12537
12536,133,0,l,,12526
12539,119,0,i,,12526
12528,135,0,b,,12522
12540,116,0,s,,12526
12534,133,0,l,,12522
12545,118,0,t,,12526
12538,124,0,e,,12522
12549,162,0,er,,12526
12544,121,0,n,,12522
12552,128,0,d,,12522
12548,135,0,b,,12541
12551,142,0,or,,12541
12556,121,0,n,,12541
12557,135,0,b,,12553
12558,126,0,r,,12553
12559,119,0,i,,12553
12560,146,0,ng,,12553
12562,135,0,b,,12554
12563,132,0,u,,12554
12564,118,0,t,,12554
12561,135,0,b,,12555
12565,131,0,o,,12555
12567,116,0,ss,,12555
12573,123,0,c,,12569
12576,117,0,a,,12569
12577,123,0,c,,12571
12579,127,0,m,,12569
12574,123,0,c,,12568
12578,117,0,a,,12571
12581,120,0,p,,12569
12582,121,0,nn,,12571
12584,131,0,o,,12571
12585,118,0,t,,12571
12583,117,0,a,,12568
12580,153,0,ch,,12572
12575,153,0,ch,,12570
12588,154,0,sh,,12568
12589,117,0,a,,12572
12590,120,0,p,,12572
12591,117,0,a,,12570
12594,127,0,m,,12570
12595,120,0,p,,12570
12597,153,0,ch,,12592
12599,117,0,a,,12592
12601,118,0,t,,12592
12598,153,0,ch,,12586
12600,163,0,ar,,12586
12604,127,0,m,,12586
12587,123,0,c,,12566
12593,117,0,a,,12566
12596,126,0,r,,12566
12603,131,0,o,,12566
12605,133,0,l,,12566
12607,153,0,ch,,12602
12608,117,0,a,,12602
12609,118,0,tt,,12602
12610,162,0,er,,12602
12611,153,0,ch,,12606
12612,119,0,i,,12606
12615,120,0,p,,12606
12617,153,0,ch,,12613
12619,132,0,u,,12613
12625,130,0,g,,12613
12616,153,0,ch,,12614
12618,119,0,i,,12614
12620,120,0,p,,12614
12622,116,0,s,,12614
12626,153,0,ch,,12621
12627,132,0,u,,12621
12628,127,0,m,,12621
12629,153,0,ch,,12624
12631,131,0,o,,12624
12632,120,0,p,,12624
12633,116,0,s,,12624
12636,153,0,ch,,12630
12637,131,0,o,,12630
12638,120,0,p,,12630
12634,123,0,c,,12623
12639,133,0,l,,12623
12640,137,0,ai,,12623
12641,127,0,m,,12623
12651,123,0,c,,12644
12650,123,0,c,,12645
12657,139,0,oa,,12645
12655,133,0,l,,12644
12660,153,0,ch,,12645
12658,119,0,i,,12644
12659,123,0,ck,,12644
12649,123,0,c,,12646
12656,133,0,l,,12646
12661,132,0,u,,12646
12643,123,0,c,,12635
12653,123,0,c,,12642
12666,123,0,c,,12652
12647,133,0,l,,12635
12662,139,0,oa,,12642
12663,146,0,ng,,12646
12667,139,0,oa,,12652
12670,133,0,l,,12652
12664,116,0,s,,12642
12648,124,0,e,,12635
12668,118,0,t,,12642
12654,147,0,v,,12635
12669,162,0,er,,12635
12672,123,0,c,,12665
12673,131,0,o,,12665
12674,123,0,c,,12671
12675,133,0,ll,,12665
12676,131,0,o,,12671
12677,124,0,e,,12665
12679,121,0,n,,12671
12678,123,0,c,,12665
12682,118,0,t,,12671
12685,118,0,t,,12665
12683,119,0,i,,12671
12684,121,0,n,,12671
12686,161,0,ue,,12671
12689,123,0,c,,12681
12695,148,0,oo,,12681
12697,133,0,l,,12681
12687,123,0,c,,12680
12688,148,0,oo,,12680
12693,123,0,k,,12680
12696,119,0,i,,12680
12698,146,0,ng,,12680
12701,123,0,c,,12691
12699,123,0,c,,12690
12703,131,0,o,,12691
12705,118,0,t,,12691
12700,126,0,r,,12690
12702,124,0,e,,12690
12704,120,0,p,,12690
12707,118,0,t,,12690
12706,123,0,c,,12694
12709,131,0,o,,12694
12710,116,0,s,,12694
12712,118,0,t,,12694
12708,123,0,c,,12692
12711,126,0,r,,12692
12714,117,0,a,,12692
12716,154,0,sh,,12692
12717,123,0,c,,12713
12719,126,0,r,,12713
12718,123,0,c,,12715
12726,124,0,e,,12713
12720,126,0,r,,12715
12728,116,0,s,,12713
12723,119,0,i,,12715
12730,118,0,t,,12713
12724,123,0,ck,,12715
12727,124,0,e,,12715
12729,118,0,t,,12715
12731,123,0,c,,12721
12734,126,0,r,,12721
12740,123,0,c,,12733
